35.40,37.94,2.378789
34.23,39.53,2.046800
33.66,42.52,1.477392
34.80,45.36,0.940201
36.87,47.22,0.653707
39.16,48.73,0.533299
40.78,49.62,0.609802
42.88,51.26,0.795796
44.64,53.44,1.053327
46.08,55.94,1.061311
47.99,58.39,0.789582
50.48,59.94,0.286066
53.44,59.86,-0.233555
56.03,58.50,-0.687661
57.37,56.84,-1.081148
57.93,54.44,-1.601759
56.39,51.42,-2.473690
54.08,50.27,-2.722735
51.70,49.15,-2.636228
49.44,47.48,-2.161525
48.30,44.41,-1.812015
47.46,42.23,-2.041756
45.81,39.98,-2.344718
43.70,38.30,-2.498670
41.56,37.13,-2.720013
38.82,36.61,3.096077
