0.003575,30.860748,34.922697,-8.13E-4,0.745,0.199056,0.006758,0.027822
0.023666,30.863458,34.922769,-5.21E-4,0.72,0.20509,0.008915,0.024499
0.043752,30.867627,34.922894,5.0E-6,0.72,0.212841,0.00528,0.029777
0.063872,30.872005,34.922988,5.98E-4,0.72,0.223782,0.003458,0.032828
0.083958,30.875603,34.923028,0.001111,0.732,0.233356,0.001239,0.036963
0.104076,30.88045,34.923053,0.001877,0.732,0.246298,0.002073,0.040955
0.124145,30.884577,34.923087,0.002461,0.727,0.258558,0.003083,0.037488
0.144257,30.889762,34.923192,0.003161,0.727,0.274854,0.005838,0.035664
0.164377,30.89616,34.92342,0.004001,0.727,0.302757,0.009049,0.038047
0.184513,30.899988,34.923575,0.004444,0.757,0.324824,0.008826,0.035223
0.204592,30.907224,34.923807,0.005317,0.757,0.360923,0.007343,0.042361
0.224795,30.912397,34.923862,0.005877,0.731,0.387969,5.08E-4,0.04213
0.243802,30.920058,34.923955,0.006968,0.731,0.416609,0.001444,0.054595
0.263928,30.927425,34.924075,0.00793,0.731,0.442354,0.003618,0.056517
0.284011,30.93598,34.924151,0.00904,0.736,0.480446,-9.96E-4,0.062226
0.304143,30.94488,34.924207,0.01024,0.736,0.506518,-7.41E-4,0.063302
0.324247,30.952712,34.924324,0.011204,0.739,0.543703,0.00268,0.066685
0.344364,30.964035,34.924533,0.012526,0.739,0.584804,0.004875,0.065655
0.364521,30.976775,34.924774,0.013852,0.739,0.622342,0.003298,0.063364
0.384676,30.98362,34.924924,0.014655,0.736,0.64895,0.002248,0.070712
0.404756,30.999172,34.925272,0.016626,0.736,0.700015,0.003979,0.088621
0.424873,31.009342,34.925496,0.017818,0.77,0.736434,0.002608,0.08761
0.445015,31.024566,34.925714,0.019572,0.77,0.780672,-0.005042,0.088669
0.465089,31.040696,34.925961,0.021472,0.77,0.829261,-0.003736,0.092128
0.485214,31.053179,34.926258,0.022644,0.732,0.863567,0.001428,0.084996
0.505329,31.07078,34.926789,0.024251,0.732,0.896261,0.007718,0.07954
0.525458,31.084114,34.92732,0.025437,0.726,0.930069,0.01791,0.085273
0.545583,31.101226,34.928142,0.027365,0.726,0.970738,0.023241,0.104616
0.565686,31.123244,34.929166,0.029588,0.726,1.029883,0.008716,0.103217
0.585779,31.162119,34.930101,0.031234,0.74,1.152063,-0.021808,0.123013
0.605854,31.188179,34.930269,0.033901,0.74,1.211247,-0.030898,0.121936
0.62598,31.203415,34.930518,0.035512,0.71,1.185815,-0.018698,0.126352
0.646128,31.227443,34.931251,0.037775,0.71,1.213647,0.004772,0.115438
0.666194,31.252052,34.932623,0.039915,0.71,1.248642,0.034572,0.105624
0.686341,31.297761,34.935027,0.041094,0.73,1.357308,0.03454,0.086291
0.708043,31.327918,34.936914,0.043985,0.73,1.395918,0.026011,0.130648
0.728167,31.349531,34.938272,0.04582,0.739,1.381495,0.020664,0.118057
0.748226,31.377659,34.939955,0.048356,0.739,1.430167,0.01157,0.127875
0.76835,31.403827,34.941465,0.050707,0.739,1.480693,0.01156,0.127885
0.788496,31.429578,34.942606,0.055218,0.716,1.526277,-0.008654,0.128531
0.809154,31.457056,34.943818,0.057875,0.716,1.535599,-0.026106,0.144126
0.828721,31.481978,34.944744,0.060482,0.718,1.530959,-0.031098,0.15801
0.847837,31.509553,34.946017,0.063589,0.718,1.535427,-0.021219,0.165982
0.867911,31.541813,34.947884,0.066366,0.718,1.546447,2.56E-4,0.13636
0.888003,31.587659,34.951298,0.06852,0.734,1.618774,0.033554,0.154408
0.908134,31.621632,34.954726,0.071155,0.734,1.63277,0.053938,0.118484
0.928205,31.643855,34.931325,0.072803,0.728,1.574274,-0.045233,0.131518
0.948331,31.67893,34.932484,0.076116,0.728,1.609592,-0.081194,0.147525
0.968435,31.708074,34.933176,0.079093,0.728,1.625032,-0.093511,0.169838
0.988529,31.734524,34.934852,0.084373,0.716,1.666048,-0.026333,0.171404
1.008644,31.768231,34.937136,0.087582,0.716,1.706678,-0.041175,0.167623
1.028742,31.819177,34.940708,0.090805,0.725,1.80422,-0.067281,0.215283
1.048842,31.855607,34.942615,0.095397,0.725,1.832472,-0.067072,0.226277
1.068939,31.894598,34.945045,0.100512,0.725,1.884139,-0.062096,0.241469
1.089032,31.942053,34.949557,0.103142,0.715,1.92928,-0.015457,0.225513
1.109132,31.982854,34.953874,0.107926,0.715,1.982409,-0.00137,0.231951
1.131226,32.013025,34.956809,0.113691,0.702,1.959684,-0.021484,0.225328
1.151334,32.056396,34.961423,0.119063,0.702,2.002561,-0.017523,0.247851
1.171432,32.098703,34.966284,0.124946,0.702,2.047539,-0.010648,0.276738
1.191527,32.126951,34.969644,0.131193,0.718,2.070227,-0.019096,0.280937
1.211635,32.166258,34.974638,0.137693,0.718,2.099559,-0.017918,0.337163
1.231752,32.210467,34.980415,0.14125,0.742,2.179227,-0.033106,0.317652
1.251867,32.256342,34.985933,0.148166,0.742,2.215843,-0.075425,0.344424
1.272002,32.302917,34.991472,0.157242,0.742,2.252171,-0.074851,0.434151
1.292104,32.352323,34.997956,0.165127,0.709,2.301825,-0.076881,0.426232
1.312218,32.405358,35.00552,0.175125,0.709,2.354329,-0.057669,0.436537
1.332333,32.452591,35.012997,0.18244,0.729,2.381345,-0.045953,0.431867
1.352439,32.50238,35.021952,0.191969,0.729,2.433866,0.003272,0.448112
1.372573,32.562466,35.034211,0.198191,0.738,2.518968,0.039156,0.421377
1.392625,32.614701,35.045484,0.207682,0.738,2.561739,0.00852,0.454625
